site_folder,domain,sector,url_requested,url_final,title,scan_date,status,reference_label,rule_score,risk_level,detected_patterns,keyword_hits_count,keyword_hits,visible_text_chars,buttons_links_count,forms_count,checkboxes_radios_count,visible_buttons_count,accept_buttons_count,reject_buttons_count,manage_buttons_count,max_accept_area,max_reject_area,accept_reject_area_ratio,checked_inputs_count,evidence_files
expresso.pt_20260613_160544,expresso.pt,News,https://expresso.pt,https://expresso.pt/,,2026-06-13 16:05:44,blocked,blocked,4.5,Medium,manipulative_consent; obstruction,3,cookies; cookies; subscrever,29382,661,2,1,537,1,0,2,8000.0,0.0,,0,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.ageas.pt_20260613_160719,www.ageas.pt,Insurance,https://www.ageas.pt,https://www.ageas.pt/particulares/,Ageas Seguros | Um mundo para proteger o seu,2026-06-13 16:07:19,blocked,blocked,4.0,Medium,manipulative_consent; preselection,4,cookies; rejeitar; cookies; subscrever,7920,300,8,18,130,1,1,6,7708.0,8084.0,0.953,1,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.auchan.pt_20260613_160438,www.auchan.pt,Supermarket,https://www.auchan.pt,https://www.auchan.pt/,Auchan Online | O seu supermercado online,2026-06-13 16:04:38,analysed,confirmed,2.5,Low,manipulative_consent,2,cookies; cookies,11022,897,2,8,505,1,0,2,9450.0,0.0,,0,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.booking.com_20260601_215201,www.booking.com,Travel,,,,2026-06-01 21:52:01,captured,none,,,,0,,,0,0,0,0,0,0,0,0.0,0.0,,0,
www.booking.com_20260613_160446,www.booking.com,Travel,https://www.booking.com,https://www.booking.com/?chal_t=1781363087285&force_referer=,"Booking.com | Official site | The best hotels, flights, car rentals & accommodations",2026-06-13 16:04:46,analysed,none,4.5,Medium,manipulative_consent; obstruction,2,cookies; cookies,8740,315,1,1,232,1,1,4,5250.0,5250.0,1.0,0,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.cgd.pt_20260613_160610,www.cgd.pt,Banking,https://www.cgd.pt,https://www.cgd.pt/Particulares/Pages/Particulares_v2.aspx,Caixa Geral de Depósitos,2026-06-13 16:06:10,analysed,confirmed,2.5,Low,manipulative_consent,2,cookies; cookies,5651,445,7,7,95,1,0,2,7350.0,0.0,,0,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.continente.pt_20260613_160453,www.continente.pt,Supermarket,https://www.continente.pt,https://www.continente.pt/,Continente Online | O seu supermercado online,2026-06-13 16:04:53,analysed,confirmed,4.0,Medium,manipulative_consent; preselection,4,cookies; rejeitar; cookies; subscrever,15575,2148,2,10,482,1,0,5,6520.0,0.0,,2,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.edp.pt_20260613_160741,www.edp.pt,Utilities,,,,2026-06-13 16:07:41,blocked,blocked,,,,0,,,0,0,0,0,0,0,0,0.0,0.0,,0,
www.fidelidade.pt_20260613_160635,www.fidelidade.pt,Insurance,https://www.fidelidade.pt,https://www.fidelidade.pt/PT/particulares/Paginas/default.aspx,"Fidelidade | Nº 1 em Seguros Automóvel, Saúde, Casa e Viagem",2026-06-13 16:06:35,analysed,confirmed,2.5,Low,manipulative_consent,2,cookies; cookies,5462,636,1,1,238,1,0,7,5670.0,0.0,,0,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
www.flytap.com_20260613_160502,www.flytap.com,Airline,https://www.flytap.com,https://www.flytap.com/pt-pt,TAP Air Portugal | flyTAP Website Oficial,2026-06-13 16:05:02,analysed,confirmed,8.0,High,manipulative_consent; urgency_scarcity; obstruction; preselection,3,cookies; left; cookies,4196,163,1,11,138,1,0,7,7560.0,0.0,,1,buttons.json; checkboxes.json; forms.json; page.html; report.md; screenshot.png; summary.json; visible_text.txt
