pipeline,domain,sector,url_requested,captured_at,status,score,risk_level,findings_count,confirmed_count,suspected_count,finding_categories,banner_detected,banner_selector,has_accept_all,has_reject_all,has_manage_options,accept_reject_ratio,banner_buttons_count,dismiss_method,pref_panel_opened,pref_total_checkboxes,pref_pre_checked,total_buttons_on_page,pre_selected_on_page,forms_count,visible_text_chars,ground_truth,ground_truth_patterns,evidence_folder
claude,expresso.pt,News,https://expresso.pt,2026-06-07T22:55:32,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/expresso.pt_20260607_225532
claude,www.ageas.pt,Insurance,https://www.ageas.pt,2026-06-08T00:40:25,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.ageas.pt_20260608_004025
claude,www.auchan.pt,Supermarket,https://www.auchan.pt,2026-06-08T00:38:27,completed,5.0,Medium,2,0,2,manipulative_consent,True,#onetrust-banner-sdk,False,False,False,,2,escape_key,False,0,0,774,0,2,9786,confirmed,"interface_interference,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.auchan.pt_20260608_003827
claude,www.booking.com,Travel,https://www.booking.com,2026-06-07T22:55:32,completed,6.5,Medium,3,0,3,"manipulative_consent,obstruction",True,#onetrust-banner-sdk,False,False,True,,3,escape_key,True,7,0,258,0,1,6781,none,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.booking.com_20260607_225532
claude,www.cgd.pt,Banking,https://www.cgd.pt,2026-06-08T00:39:48,completed,5.0,Medium,2,0,2,manipulative_consent,True,#onetrust-banner-sdk,False,False,False,,2,escape_key,False,0,0,445,0,7,5651,confirmed,manipulative_consent,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.cgd.pt_20260608_003948
claude,www.continente.pt,Supermarket,https://www.continente.pt,2026-06-08T00:38:41,completed,6.0,Medium,3,0,3,"manipulative_consent,obstruction,preselection",True,#CybotCookiebotDialog,False,False,True,,61,reject_all,True,10,0,1958,2,2,13643,confirmed,"obstruction,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.continente.pt_20260608_003841
claude,www.edp.pt,Utilities,https://www.edp.pt,2026-06-08T00:41:05,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.edp.pt_20260608_004105
claude,www.expresso.pt,News,https://www.expresso.pt,2026-06-08T00:39:42,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.expresso.pt_20260608_003942
claude,www.fidelidade.pt,Insurance,https://www.fidelidade.pt,2026-06-08T00:40:16,completed,5.0,Medium,2,0,2,manipulative_consent,True,#onetrust-banner-sdk,False,False,False,,2,escape_key,False,0,0,636,0,1,6589,confirmed,"interface_interference,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.fidelidade.pt_20260608_004016
claude,www.flytap.com,Airline,https://www.flytap.com,2026-06-08T00:38:54,completed,10.0,High,5,0,5,"manipulative_consent,obstruction,preselection,urgency_scarcity",False,,False,False,False,,0,,False,0,0,164,1,1,4233,confirmed,"preselection,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.flytap.com_20260608_003854
